@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
3057,'2018/11/05 19:08:56:576',13,0.055118,0.897638,0.17,0.4,0.35
3058,'2018/11/05 19:08:56:596',13,0.055118,0.874016,0.17,0.4,0.35
3059,'2018/11/05 19:08:56:616',13,0.055118,0.834646,0.17,0.4,0.35
3060,'2018/11/05 19:08:56:636',13,0.055118,0.811024,0.17,0.4,0.35
3061,'2018/11/05 19:08:56:656',13,0.070866,0.787402,0.17,0.4,0.35
3062,'2018/11/05 19:08:56:676',13,0.086614,0.779528,0.17,0.4,0.35
3063,'2018/11/05 19:08:56:696',13,0.125984,0.771654,0.17,0.4,0.35
3064,'2018/11/05 19:08:56:716',13,0.149606,0.771654,0.17,0.4,0.35
3065,'2018/11/05 19:08:56:736',13,0.173228,0.787402,0.17,0.4,0.35
3066,'2018/11/05 19:08:56:756',13,0.181102,0.811024,0.17,0.4,0.35
3067,'2018/11/05 19:08:56:777',13,0.181102,0.84252,0.17,0.4,0.35
3068,'2018/11/05 19:08:56:796',13,0.181102,0.866142,0.17,0.4,0.35
3069,'2018/11/05 19:08:56:816',13,0.173228,0.889764,0.17,0.4,0.35
3070,'2018/11/05 19:08:56:841',13,0.15748,0.905512,0.17,0.4,0.35
3071,'2018/11/05 19:08:56:856',13,0.149606,0.905512,0.17,0.4,0.35
3072,'2018/11/05 19:08:56:876',13,0.125984,0.905512,0.17,0.4,0.35
3073,'2018/11/05 19:08:56:896',13,0.094488,0.905512,0.17,0.4,0.35
3074,'2018/11/05 19:08:56:916',13,0.07874,0.905512,0.17,0.4,0.35
3075,'2018/11/05 19:08:56:936',13,0.055118,0.897638,0.17,0.4,0.35
3076,'2018/11/05 19:08:56:956',13,0.047244,0.889764,0.17,0.4,0.35
3077,'2018/11/05 19:08:56:976',13,0.047244,0.858268,0.17,0.4,0.35
3078,'2018/11/05 19:08:56:996',13,0.047244,0.834646,0.17,0.4,0.35
3079,'2018/11/05 19:08:57:016',13,0.070866,0.80315,0.17,0.4,0.35
3080,'2018/11/05 19:08:57:036',13,0.094488,0.779528,0.17,0.4,0.35
3081,'2018/11/05 19:08:57:056',13,0.125984,0.76378,0.17,0.4,0.35
3082,'2018/11/05 19:08:57:076',13,0.141732,0.76378,0.17,0.4,0.35
3083,'2018/11/05 19:08:57:096',13,0.173228,0.76378,0.17,0.4,0.35
3084,'2018/11/05 19:08:57:118',13,0.181102,0.771654,0.17,0.4,0.35
3085,'2018/11/05 19:08:57:136',13,0.188976,0.80315,0.17,0.4,0.35
3086,'2018/11/05 19:08:57:156',13,0.19685,0.834646,0.17,0.4,0.35
3087,'2018/11/05 19:08:57:178',13,0.188976,0.88189,0.17,0.4,0.35
3088,'2018/11/05 19:08:57:196',13,0.173228,0.905512,0.17,0.4,0.35
3089,'2018/11/05 19:08:57:216',13,0.149606,0.937008,0.17,0.4,0.35
3090,'2018/11/05 19:08:57:236',13,0.133858,0.952756,0.17,0.4,0.35
3091,'2018/11/05 19:08:57:256',13,0.11811,0.952756,0.17,0.4,0.35
3092,'2018/11/05 19:08:57:276',13,0.094488,0.952756,0.17,0.4,0.35
3093,'2018/11/05 19:08:57:296',13,0.07874,0.944882,0.17,0.4,0.35
3094,'2018/11/05 19:08:57:316',13,0.070866,0.92126,0.17,0.4,0.35
3095,'2018/11/05 19:08:57:336',13,0.062992,0.874016,0.17,0.4,0.35
3096,'2018/11/05 19:08:57:356',13,0.062992,0.826772,0.17,0.4,0.35
3097,'2018/11/05 19:08:57:376',13,0.070866,0.755906,0.17,0.4,0.35
3098,'2018/11/05 19:08:57:396',13,0.086614,0.724409,0.17,0.4,0.35
3099,'2018/11/05 19:08:57:416',13,0.125984,0.692913,0.17,0.4,0.35
3100,'2018/11/05 19:08:57:436',13,0.149606,0.677165,0.17,0.4,0.35
3101,'2018/11/05 19:08:57:456',13,0.19685,0.669291,0.17,0.4,0.35
3102,'2018/11/05 19:08:57:476',13,0.220472,0.669291,0.17,0.4,0.35
3103,'2018/11/05 19:08:57:496',13,0.244094,0.692913,0.17,0.4,0.35
3104,'2018/11/05 19:08:57:516',13,0.251969,0.716535,0.17,0.4,0.35
3105,'2018/11/05 19:08:57:536',13,0.259843,0.748031,0.17,0.4,0.35
3106,'2018/11/05 19:08:57:556',13,0.259843,0.771654,0.17,0.4,0.35
3107,'2018/11/05 19:08:57:579',13,0.228346,0.826772,0.17,0.4,0.35
3108,'2018/11/05 19:08:57:596',13,0.19685,0.858268,0.17,0.4,0.35
3109,'2018/11/05 19:08:57:616',13,0.15748,0.88189,0.17,0.4,0.35
3110,'2018/11/05 19:08:57:636',13,0.125984,0.897638,0.17,0.4,0.35
3111,'2018/11/05 19:08:57:656',13,0.094488,0.897638,0.17,0.4,0.35
3112,'2018/11/05 19:08:57:676',13,0.07874,0.88189,0.17,0.4,0.35
3113,'2018/11/05 19:08:57:696',13,0.055118,0.834646,0.17,0.4,0.35
3114,'2018/11/05 19:08:57:716',13,0.055118,0.795276,0.17,0.4,0.35
3115,'2018/11/05 19:08:57:736',13,0.055118,0.724409,0.17,0.4,0.35
3116,'2018/11/05 19:08:57:756',13,0.070866,0.692913,0.17,0.4,0.35
3117,'2018/11/05 19:08:57:776',13,0.102362,0.653543,0.17,0.4,0.35
3118,'2018/11/05 19:08:57:796',13,0.141732,0.645669,0.17,0.4,0.35
3119,'2018/11/05 19:08:57:816',13,0.19685,0.645669,0.17,0.4,0.35
3120,'2018/11/05 19:08:57:836',13,0.228346,0.645669,0.17,0.4,0.35
3121,'2018/11/05 19:08:57:856',13,0.267717,0.677165,0.17,0.4,0.35
3122,'2018/11/05 19:08:57:876',13,0.275591,0.700787,0.17,0.4,0.35
3123,'2018/11/05 19:08:57:896',13,0.291339,0.748031,0.17,0.4,0.35
3124,'2018/11/05 19:08:57:916',13,0.291339,0.779528,0.17,0.4,0.35
3125,'2018/11/05 19:08:57:936',13,0.259843,0.826772,0.17,0.4,0.35
3126,'2018/11/05 19:08:57:959',13,0.23622,0.850394,0.17,0.4,0.35
3127,'2018/11/05 19:08:57:976',13,0.19685,0.88189,0.17,0.4,0.35
