@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
19,'2018/11/05 19:17:35:277',1,0.015413,0.020982,0.01716,0.009735,0.007373,0.003297,0.007891,0.004611,0.007237,0.003786,0.003455,0.002548,0.001512,0.001706,0.001552,0.000885,0.000779,0.000751,0.00077,0.000545,0.000514,0.000551,0.000446,0.000436,0.000268,1
20,'2018/11/05 19:17:35:288',1,0.009107,0.014317,0.01279,0.009352,0.004147,0.006813,0.003535,0.00617,0.00552,0.004145,0.002214,0.001866,0.002383,0.001973,0.001606,0.000709,0.000788,0.000798,0.000811,0.000647,0.000518,0.000522,0.000359,0.000434,0.000291,1
21,'2018/11/05 19:17:35:300',1,0.006026,0.009127,0.007774,0.00654,0.008287,0.006137,0.004427,0.004615,0.004258,0.002834,0.003927,0.001682,0.002981,0.00179,0.001635,0.00094,0.00087,0.000873,0.000784,0.000618,0.000489,0.000475,0.000377,0.000484,0.000326,1
22,'2018/11/05 19:17:35:312',1,0.005219,0.014339,0.009524,0.013085,0.008587,0.005778,0.005121,0.003748,0.004633,0.0026,0.00284,0.001781,0.001728,0.002052,0.001121,0.001118,0.001127,0.00086,0.000754,0.000613,0.000435,0.000417,0.000415,0.000467,0.000264,1
23,'2018/11/05 19:17:35:323',1,0.009162,0.015899,0.013769,0.013256,0.007672,0.006914,0.008284,0.003108,0.003705,0.003042,0.001621,0.002141,0.00258,0.002045,0.001349,0.001319,0.00092,0.000789,0.00065,0.000519,0.000453,0.000445,0.000342,0.000423,0.000173,1
24,'2018/11/05 19:17:35:335',1,0.007319,0.025112,0.022053,0.011137,0.005071,0.006386,0.007344,0.005539,0.004424,0.00293,0.001474,0.002382,0.001819,0.002569,0.001727,0.001161,0.000871,0.000806,0.000641,0.000463,0.000463,0.000472,0.000345,0.000446,0.000232,1
25,'2018/11/05 19:17:35:347',1,0.005032,0.022805,0.024117,0.009693,0.006815,0.005517,0.004414,0.00547,0.003084,0.003377,0.002359,0.002881,0.001251,0.002053,0.001597,0.000993,0.000967,0.00073,0.000461,0.00054,0.000461,0.000388,0.000374,0.000463,0.000262,1
26,'2018/11/05 19:17:35:358',1,0.009438,0.020885,0.023143,0.010313,0.011452,0.007184,0.0042,0.004466,0.003166,0.003568,0.002848,0.002324,0.002229,0.001733,0.001108,0.001089,0.000894,0.000687,0.000665,0.000554,0.000452,0.000454,0.000442,0.000451,0.000272,1
27,'2018/11/05 19:17:35:370',1,0.005279,0.013948,0.011684,0.008464,0.007311,0.006655,0.006438,0.005668,0.003963,0.002594,0.002096,0.002788,0.002906,0.001339,0.001196,0.001051,0.000887,0.000697,0.000695,0.000489,0.000404,0.000426,0.000439,0.000426,0.000241,1
28,'2018/11/05 19:17:35:381',1,0.004514,0.013738,0.011118,0.005848,0.006263,0.008286,0.009087,0.006093,0.003392,0.0024,0.001301,0.001522,0.002209,0.001831,0.00135,0.000861,0.00088,0.00071,0.000534,0.000487,0.000377,0.000382,0.000391,0.000631,0.000255,1
29,'2018/11/05 19:17:35:393',1,0.007813,0.021167,0.016,0.00927,0.007583,0.007258,0.005669,0.003504,0.003243,0.002519,0.001774,0.001536,0.002435,0.001879,0.001538,0.000902,0.000857,0.000783,0.000539,0.000534,0.000414,0.000394,0.000391,0.000395,0.00025,1
30,'2018/11/05 19:17:35:404',1,0.006052,0.022467,0.01427,0.015388,0.005684,0.004854,0.008553,0.006227,0.003676,0.005032,0.002091,0.002899,0.002009,0.001747,0.00145,0.000836,0.000717,0.000778,0.000599,0.000586,0.000406,0.000348,0.000334,0.000326,0.000219,1
31,'2018/11/05 19:17:35:416',1,0.002709,0.01236,0.018865,0.017038,0.01067,0.008833,0.007051,0.006872,0.005588,0.003611,0.002895,0.003527,0.001766,0.001158,0.001537,0.000792,0.000733,0.000614,0.000563,0.000513,0.00051,0.000384,0.000368,0.000372,0.000196,1
32,'2018/11/05 19:17:35:428',1,0.006077,0.012738,0.018238,0.01645,0.008104,0.006874,0.008012,0.002723,0.004688,0.002495,0.002142,0.002517,0.002201,0.001766,0.001108,0.000752,0.000702,0.000757,0.000624,0.000439,0.000429,0.000385,0.000336,0.000329,0.000199,1
33,'2018/11/05 19:17:35:440',1,0.006382,0.008469,0.015587,0.009109,0.008113,0.003439,0.006823,0.001979,0.002862,0.001944,0.002028,0.002018,0.00203,0.001816,0.001251,0.000759,0.00071,0.000676,0.000525,0.000361,0.000346,0.000344,0.000293,0.00036,0.00019,1
34,'2018/11/05 19:17:35:451',1,0.006429,0.006293,0.010958,0.00667,0.005307,0.004871,0.00456,0.002792,0.003161,0.003288,0.001867,0.001378,0.001263,0.001965,0.001314,0.001072,0.000806,0.000618,0.000464,0.000386,0.000345,0.000337,0.000269,0.000314,0.00018,1
35,'2018/11/05 19:17:35:462',1,0.00903,0.012359,0.017291,0.00826,0.005246,0.008589,0.004402,0.002968,0.003755,0.003042,0.001201,0.001248,0.002025,0.001132,0.001093,0.000814,0.000721,0.00064,0.000413,0.000374,0.000362,0.000327,0.000271,0.000288,0.000207,1
36,'2018/11/05 19:17:35:474',1,0.009492,0.01731,0.018883,0.005223,0.005554,0.004966,0.004816,0.005706,0.003472,0.001496,0.001445,0.001448,0.002016,0.001061,0.001079,0.000712,0.00077,0.000838,0.000387,0.000406,0.000374,0.000309,0.000268,0.000318,0.000194,1
37,'2018/11/05 19:17:35:485',1,0.006688,0.018836,0.014411,0.006902,0.005608,0.004531,0.007258,0.005183,0.002941,0.001871,0.001766,0.001305,0.002277,0.001115,0.001036,0.000686,0.000755,0.000649,0.000455,0.000346,0.000418,0.000275,0.000301,0.000306,0.000197,1
38,'2018/11/05 19:17:35:497',1,0.006907,0.020924,0.011695,0.008107,0.008851,0.00422,0.004201,0.004392,0.002757,0.002986,0.002311,0.0017,0.001335,0.001485,0.000771,0.000714,0.000747,0.000582,0.000472,0.000392,0.00036,0.000247,0.000278,0.000289,0.000169,1
